
,,,,,,,,,Scoring,Scoring,Scoring,,,Goals,Goals,Goals,,,,
Rk,Player,Age,Pos,Date,Tm,,Opp,,G,A,PTS,+/-,PIM,EV,PP,SH,S,S%,SHFT,TOI
Rk,Player,Age,Pos,Date,Tm,,Opp,,G,A,PTS,+/-,PIM,EV,PP,SH,S,S%,SHFT,TOI
1341,Dylan Larkin\larkidy01,19-126,C,2016-03-26,DET,,PIT,L,0,0,0,0,0,0,0,0,5,0.0,22,15:37
1342,Niklas Kronwall\kronwni01,35-074,D,2016-03-26,DET,,PIT,L,0,0,0,-1,0,0,0,0,0,,25,18:46
1343,Darren Helm\helmda01,29-065,C,2016-03-26,DET,,PIT,L,0,0,0,-3,0,0,0,0,2,0.0,25,16:47
1344,Mike Green\greenmi03,30-200,D,2016-03-26,DET,,PIT,L,1,0,1,-2,0,0,1,0,1,100.0,24,19:44
1345,Luke Glendening\glendlu01,26-033,C,2016-03-26,DET,,PIT,L,0,0,0,0,0,0,0,0,3,0.0,23,15:23
1346,Jonathan Ericsson\ericsjo01,32-024,D,2016-03-26,DET,,PIT,L,0,1,1,-1,0,0,0,0,0,,30,20:09
1347,Danny DeKeyser\dekeyda01,26-019,D,2016-03-26,DET,,PIT,L,0,0,0,-1,4,0,0,0,0,,32,19:01
1348,Pavel Datsyuk\datsypa01,37-116,C,2016-03-26,DET,,PIT,L,0,1,1,-3,4,0,0,0,1,0.0,21,14:11
1349,Andreas Athanasiou\athanan01,21-133,C,2016-03-26,DET,,PIT,L,1,0,1,0,0,1,0,0,2,50.0,19,12:16
1350,Justin Abdelkader\abdelju01,29-030,LW,2016-03-26,DET,,PIT,L,0,0,0,-1,4,0,0,0,2,0.0,22,14:57
1351,Henrik Zetterberg\zettehe01,35-195,LW,2016-03-28,DET,,BUF,W,0,2,2,0,0,0,0,0,5,0.0,25,20:11
1352,Tomas Tatar\tatarto01,25-248,C,2016-03-28,DET,,BUF,W,0,0,0,1,0,0,0,0,2,0.0,19,13:54
1353,Riley Sheahan\sheahri01,24-254,C,2016-03-28,DET,,BUF,W,1,0,1,1,0,1,0,0,1,100.0,19,12:59
1354,Brad Richards\richabr01,35-035,C,2016-03-28,DET,,BUF,W,0,0,0,-1,2,0,0,0,1,0.0,16,10:52
1355,Kyle Quincey\quincky01,30-137,D,2016-03-28,DET,,BUF,W,0,0,0,0,0,0,0,0,1,0.0,27,20:11
1356,Gustav Nyquist\nyquigu01,26-157,RW,2016-03-28,DET,,BUF,W,0,0,0,1,0,0,0,0,1,0.0,20,15:35
1357,Alexey Marchenko\marchal01,24-086,D,2016-03-28,DET,,BUF,W,0,0,0,1,0,0,0,0,0,,23,16:19
1358,Anthony Mantha\manthan01,21-172,RW,2016-03-28,DET,,BUF,W,0,0,0,0,0,0,0,0,0,,17,13:48
1359,Dylan Larkin\larkidy01,19-124,C,2016-03-28,DET,,BUF,W,1,0,1,0,0,0,1,0,2,50.0,22,17:09
1360,Niklas Kronwall\kronwni01,35-076,D,2016-03-28,DET,,BUF,W,0,1,1,1,0,0,0,0,2,0.0,25,20:15
Rk,Player,Age,Pos,Date,Tm,,Opp,,G,A,PTS,+/-,PIM,EV,PP,SH,S,S%,SHFT,TOI
1361,Darren Helm\helmda01,29-067,C,2016-03-28,DET,,BUF,W,0,0,0,-1,0,0,0,0,4,0.0,21,13:23
1362,Mike Green\greenmi03,30-198,D,2016-03-28,DET,,BUF,W,0,0,0,-1,0,0,0,0,1,0.0,23,17:21
1363,Luke Glendening\glendlu01,26-031,C,2016-03-28,DET,,BUF,W,1,0,1,0,0,1,0,0,2,50.0,23,17:17
1364,Jonathan Ericsson\ericsjo01,32-026,D,2016-03-28,DET,,BUF,W,0,0,0,-1,2,0,0,0,2,0.0,23,15:10
1365,Danny DeKeyser\dekeyda01,26-021,D,2016-03-28,DET,,BUF,W,0,0,0,0,0,0,0,0,1,0.0,27,24:23
1366,Pavel Datsyuk\datsypa01,37-114,C,2016-03-28,DET,,BUF,W,0,0,0,-1,0,0,0,0,2,0.0,25,18:50
1367,Andreas Athanasiou\athanan01,21-131,C,2016-03-28,DET,,BUF,W,0,0,0,0,0,0,0,0,1,0.0,11,6:49
1368,Justin Abdelkader\abdelju01,29-032,LW,2016-03-28,DET,,BUF,W,0,0,0,0,2,0,0,0,1,0.0,25,19:48
1369,Henrik Zetterberg\zettehe01,35-194,LW,2016-03-29,DET,@,MTL,L,0,0,0,-1,0,0,0,0,7,0.0,25,18:59
1370,Tomas Tatar\tatarto01,25-247,C,2016-03-29,DET,@,MTL,L,0,1,1,0,0,0,0,0,1,0.0,18,13:57
1371,Riley Sheahan\sheahri01,24-253,C,2016-03-29,DET,@,MTL,L,0,1,1,0,0,0,0,0,2,0.0,21,13:17
1372,Brad Richards\richabr01,35-034,C,2016-03-29,DET,@,MTL,L,0,0,0,0,0,0,0,0,3,0.0,19,14:18
1373,Kyle Quincey\quincky01,30-136,D,2016-03-29,DET,@,MTL,L,0,0,0,-1,0,0,0,0,1,0.0,31,20:37
1374,Gustav Nyquist\nyquigu01,26-156,RW,2016-03-29,DET,@,MTL,L,1,0,1,0,0,0,1,0,4,25.0,21,19:08
1375,Alexey Marchenko\marchal01,24-087,D,2016-03-29,DET,@,MTL,L,0,0,0,-1,0,0,0,0,1,0.0,27,16:10
1376,Anthony Mantha\manthan01,21-171,RW,2016-03-29,DET,@,MTL,L,1,0,1,-2,2,0,1,0,3,33.3,16,11:34
1377,Dylan Larkin\larkidy01,19-123,C,2016-03-29,DET,@,MTL,L,0,0,0,-1,0,0,0,0,3,0.0,22,15:24
1378,Niklas Kronwall\kronwni01,35-077,D,2016-03-29,DET,@,MTL,L,0,1,1,-1,2,0,0,0,2,0.0,31,22:18
1379,Darren Helm\helmda01,29-068,C,2016-03-29,DET,@,MTL,L,0,0,0,-1,0,0,0,0,2,0.0,23,14:37
1380,Mike Green\greenmi03,30-197,D,2016-03-29,DET,@,MTL,L,1,0,1,-1,0,0,1,0,2,50.0,26,20:04
Rk,Player,Age,Pos,Date,Tm,,Opp,,G,A,PTS,+/-,PIM,EV,PP,SH,S,S%,SHFT,TOI
1381,Luke Glendening\glendlu01,26-030,C,2016-03-29,DET,@,MTL,L,0,0,0,-1,2,0,0,0,0,,21,14:00
1382,Jonathan Ericsson\ericsjo01,32-027,D,2016-03-29,DET,@,MTL,L,0,0,0,-1,0,0,0,0,2,0.0,22,12:30
1383,Danny DeKeyser\dekeyda01,26-022,D,2016-03-29,DET,@,MTL,L,0,0,0,-1,2,0,0,0,2,0.0,32,22:57
1384,Pavel Datsyuk\datsypa01,37-113,C,2016-03-29,DET,@,MTL,L,0,2,2,-1,0,0,0,0,3,0.0,23,19:55
1385,Andreas Athanasiou\athanan01,21-130,C,2016-03-29,DET,@,MTL,L,0,0,0,-1,0,0,0,0,3,0.0,13,9:34
